F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  9495 -      ?        00:00:00 systemd
1 S     0     2     0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H
1 S     0     7     2  0  80   0 -     0 -      ?        00:00:00 rcu_sched
1 S     0     8     2  0  80   0 -     0 -      ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 -      ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 -      ?        00:00:00 watchdog/0
5 S     0    11     2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 S     0    12     2  0  60 -20 -     0 -      ?        00:00:00 netns
1 S     0    13     2  0  60 -20 -     0 -      ?        00:00:00 perf
1 S     0    14     2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0    15     2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0    16     2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0    17     2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 S     0    18     2  0  60 -20 -     0 -      ?        00:00:00 crypto
1 S     0    19     2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 S     0    20     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    21     2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 S     0    22     2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 S     0    23     2  0  60 -20 -     0 -      ?        00:00:00 md
1 S     0    24     2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0    28     2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0    29     2  0  60 -20 -     0 -      ?        00:00:00 vmstat
1 S     0    30     2  0  80   0 -     0 -      ?        00:00:00 fsnotify_mark
1 S     0    31     2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthrea
1 S     0    47     2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
1 S     0    48     2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 S     0    49     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    50     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    51     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    52     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    53     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    54     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    55     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    56     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    57     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 S     0    58     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0    59     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 S     0    60     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 S     0    66     2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 S     0    79     2  0  60 -20 -     0 -      ?        00:00:00 deferwq
1 S     0    80     2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 S     0    81     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   124     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 S     0   125     2  0  60 -20 -     0 -      ?        00:00:00 kpsmoused
1 S     0   127     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 S     0   161     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:3
1 S     0   162     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   237     2  0  60 -20 -     0 -      ?        00:00:00 raid5wq
1 S     0   269     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   296     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H
1 S     0   298     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda1-8
1 S     0   299     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0   341     1  0  80   0 -  7006 -      ?        00:00:00 systemd-journal
1 S     0   368     2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0   386     2  0  60 -20 -     0 -      ?        00:00:00 iscsi_eh
1 S     0   390     2  0  60 -20 -     0 -      ?        00:00:00 ib_addr
4 S     0   391     1  0  80   0 - 23692 -      ?        00:00:00 lvmetad
1 S     0   405     2  0  60 -20 -     0 -      ?        00:00:00 ib_mcast
4 S     0   407     1  0  80   0 - 11140 -      ?        00:00:00 systemd-udevd
1 S     0   411     2  0  60 -20 -     0 -      ?        00:00:00 ib_nl_sa_wq
1 S     0   414     2  0  60 -20 -     0 -      ?        00:00:00 ib_cm
1 S     0   415     2  0  60 -20 -     0 -      ?        00:00:00 iw_cm_wq
1 S     0   429     2  0  60 -20 -     0 -      ?        00:00:00 rdma_cm
1 S     0   486     2  0  60 -20 -     0 -      ?        00:00:00 iprt-VBoxWQueue
1 S     0   495     2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
4 S   100   527     1  0  80   0 - 25080 -      ?        00:00:00 systemd-timesyn
4 S     1   761     1  0  80   0 -  6510 -      ?        00:00:00 atd
4 S     0   768     1  0  80   0 -  7167 -      ?        00:00:00 systemd-logind
4 S     0   777     1  0  80   0 - 23841 -      ?        00:00:00 lxcfs
4 S     0   781     1  0  80   0 - 68967 -      ?        00:00:00 accounts-daemon
4 S   107   784     1  0  80   0 - 10724 -      ?        00:00:00 dbus-daemon
4 S   104   795     1  0  80   0 - 64097 -      ?        00:00:00 rsyslogd
4 S     0   796     1  0  80   0 - 35136 -      ?        00:00:00 snapd
0 S     0   799     1  0  80   0 -  1098 -      ?        00:00:00 acpid
4 S     0   800     1  0  80   0 -  7251 -      ?        00:00:00 cron
1 S     0   817     1  0  80   0 -  3342 -      ?        00:00:00 mdadm
4 S     0   822     1  0  80   0 - 69271 -      ?        00:00:00 polkitd
1 S     0   913     1  0  80   0 -  4029 -      ?        00:00:00 dhclient
4 S     0   993     1  0  80   0 - 16376 -      ?        00:00:00 sshd
1 S     0  1013     1  0  80   0 -  1304 -      ?        00:00:00 iscsid
5 S     0  1014     1  0  70 -10 -  1429 -      ?        00:00:00 iscsid
4 S     0  1091     1  0  80   0 - 16457 -      tty1     00:00:00 login
4 S  1000  1402     1  0  80   0 - 11318 ep_pol ?        00:00:00 systemd
5 S  1000  1404  1402  0  80   0 - 15358 -      ?        00:00:00 (sd-pam)
4 S  1000  1411  1091  0  80   0 -  5695 wait   tty1     00:00:00 bash
1 S     0  1511     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:2
1 S     0  1587     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
1 S     0  1629     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:0
1 S     0  1631     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1
0 R  1000  2416  1411  0  80   0 -  7228 -      tty1     00:00:00 ps
